word;translation
de man;man
de vrouw;woman
ik;I
zijn;to be
een;a, one
de jongen;boy
en;and
ze;she, they
het kind;child
zij;she, they
hij;he
het meisje;girl
eten;to eat
drinken;to drink
de appel;apple
de melk;milk
het sap;juice
het water;water
het brood;bread
of;or
jij;you (singular informal stressed)
je;you (singular informal unstressed)
wij;we (stressed)
de boterham;sandwich
de rijst;rice
we;we (unstressed)
jullie;you (plural)
vrouwen;women
mannen;men
meisjes;girls
de krant;newspaper
jongens;boys
het menu;menu
dat;that
het;it
hebben;to have
het boek;book
lezen;to read
spreken;to speak
kinderen;children
hallo;hello
bedankt;thanks
dag;bye
doei;bye
tot ziens;goodbye, see you later
hoi;hi
goedendag;good day
goedemorgen;good morning
goedenavond;good evening
welterusten;good night (rest well)
ja;yes
danken;to thank
nee;no
alsjeblieft;please (informal)
alstublieft;please (formal)
dank je wel;thank you (informal)
wel;well, really
misschien;maybe, possibly, perhaps
niet;not
sorry;sorry
oké;okay
pardon;excuse me
het spijt me;I'm sorry
goed;good, fine, well
hoe;how
gaan;gaan
hoe gaat het?;how are you?
geen;no/none/not/nobody (negation)
Engels;English
Nederlands;Dutch
de vis;fish (singular)
de sinaasappel;orange (fruit)
de wijn;wine
de koffie;coffee
het ei;egg
de kip;chicken
het bord;board, plate
de suiker;sugar
het middageten;lunch
het ontbijt;breakfast
de kaas;cheese
het fruit;fruit
de pasta;pasta
de lunch;lunch
het bier;beer (uncountable)
het rundvlees;beef
de soep;soup
de tomaat;tomato
de aardbei;strawberry
de citroen;lemon
de limoen;lime
het avondeten;dinner, supper
het vlees;meat
de maaltijd;meal
de thee;tea
het varkensvlees;pork
de vegetariër;vegetarian
het eten;food, eating
de groente;vegetable
de peper;pepper
de dorst;thirst
dorst hebben;to be thirsty
de olie;oil
de honger;hunger
honger hebben;to be hungry
de banaan;banana
het zout;salt
lekker;tasty, nice, delicious
de kat;cat
het dier;animal
de hond;dog
het paard;horse
de vogel;bird
de beer;bear
de muis;mouse
de krab;crab
de spin;spider
de olifant;elephant
de eend;duck
de schildpad;turtle
het konijn;rabbit
de koe;cow
de neushoorn;rhinoceros
de hoorn;horn
het schaap;sheep (singular)
het hert;deer
de staart;tail
de gans;goose
de uil;owl
eenden;ducks
schildpadden;turtles
honden;dogs
kranten;newspapers
boeken;books
paarden;horses
boterhammen;sandwiches
borden;plates, boards
appels;apples
katten;cats
vogels;birds
olifanten;elephants
menu's;menus
dieren;animals
muizen;mice
koeien;cows
aardbeien;strawberries
schapen;sheep (plural)
je, jouw;your (singular informal)
mijn;my
uw;your (singular formal)
zijn;his, its (adjective)
haar;her
ons;our (het- nouns)
onze;our (de- nouns)
jullie, je;your (plural)
hun;their
van mij;mine
van jou;yours (singular informal)
van u;yours (singular formal)
van hem;his, its (pronoun)
van ons;ours
van jullie;yours (plural)
van hen;theirs
groot;big, large, great
klein;small
lang;long, tall
snel;fast
langzaam;slow
kort;short
zacht;soft
zwaar;hard, heavy
licht;light
sterk;strong
zwak;weak
jong;young
oud;old
zoet;sweet
zuur;sour
slecht;bad
belangrijk;important
moeilijk;difficult
goedkoop;cheap
interessant;interesting
gratis;free of charge
vol;full
leeg;empty
duur;expensive
vers;fresh
warm;warm, hot
het warm hebben;to feel warm/hot
koud;cold
het koud hebben;to feel cold
rustig;quiet
nat;wet
droog;dry
schoon;clean
net zoals;just like
dragen;to wear
de schoen;shoe
de jurk;dress
de jas;coat
de rok;skirt
het rokje;(small) skirt
kleren;clothes
de klomp;clog (footwear)
de broek;trousers (singular)
de hoed;hat
het pak;suit
u;you (formal)
de meneer;mister
de mevrouw;madam
lopen;to walk
schrijven;to write
zwemmen;to swim
koken;to cook
slapen;to sleep
houden van (iets);to like / to love (something)
spelen;to play
willen;to want
graag;gladly
horen;to hear
zien;to see
betalen;to pay
rennen;to run
kennen;to know (a person)
steunen;to support
heten;to be called
pijpenstelen regenen;to rain cats and dogs
aanraken;to touch
luisteren;to listen
nodig hebben;to be in need of
gebruiken;to use
nemen;to take
ontwerpen;to design
gaan;to go
fietsen;to bike
zeggen;to say
werken;to work
tonen;to show
staan;to stand / to be placed or located
genoeg;enough
iedereen;everyone
iemand;someone
iets;something, somewhat
men;one (3rd person pronoun)
niemand;nobody, no one
niets;nothing
wat;what
veel;a lot, many
weinig;little, few
alle;all
sommige;some
alles;everything
verscheidene;several
verschillende;different
een paar;a couple
elke;each, every
enig;some, any
enkele;a few, some
ieder;each, any
haar;her
hem;him
mij;me (stressed)
me;me (unstressed)
jou;you (object, stressed)
ons;us
ze;them (unstressed)
hun;their
hun / hen;them (stressed)
oranje;orange (color)
groen;green
grijs;gray
roze;pink
wit;white
bruin;brown
blauw;blue
geel;yellow
zwart;black
de kleur;color
rood;red
kleurrijk;colorful
paars;purple
de vlag;flag
in;in
bij;at / by
tussen;between
aan;on, to, at
Nederland;the Netherlands
zitten;to sit
wonen;to live (at a place)
België;Belgium
voor;for, before
op;up, onto, on, upon
komen;to come
uit;from, out
vlakbij;near, close, nigh
naar;to
met;with
zonder;without
van;from
toe;towards
krijgen;to get, to receive
na;after
het station;station
liggen;to lie (down), to be (located)
naast;next to, beside
tijdens;during
door;through
vanwege;because of
dichtbij;near, close
achter;behind
tegen;against
terwijl;while, during
over;about, over
onder;under
mee;with (+verb)
behalve;except
wat;what
welk;which
waarom;why
waar;where
hoeveel;how much / how many
hoe;how
het antwoord;answer
de vraag;question
wie;who
wiens;whose
wanneer;when
vragen;to ask
doen;to do
één;one
twee;two
drie;three
vier;four
vijf;five
zes;six
zeven;seven
acht;eight
negen;nine
tien;ten
elf;eleven
twaalf;twelve
dertien;thirteen
veertien;fourteen
vijftien;fifteen
zestien;sixteen
zeventien;seventeen
achttien;eighteen
negentien;nineteen
twintig;twenty
eenentwintig;twenty-one
tweeëntwintig;twenty-two
zesentwintig;twenty-six
zevenentwintig;twenty-seven
dertig;thirty
veertig;forty
vijftig;fifty
zestig;sixty
zeventig;seventy
tachtig;eighty
negentig;ninety
honderd;hundred
duizend;thousand
miljoen;million
eerst;first
derde;third
vierde;fourth
laatst;last
meer;more
dan;then
minder;less
zoveel;so much
te;"too (as in ""too much"")"
het nummer;number
de hoeveelheid;amount
de som;sum
gemiddeld;average
totaal;total (adj)
de meerderheid;majority
de meter;meter
de helft;half
het gemiddelde;average
het totaal;total (noun)
of;or
maar;but
dan;then
want;because
zowel...als;both...and
noch;adv. nevertheless, yet
ook;also, too, as well
dus;so, therefore, thus
alleen;alone
alhoewel;although, though
aangezien;since, because, considering
dat;that
wanneer;when
zodat;so that
omdat;because
doordat;because of that, due to that
totdat;till, until, as far as
zodra;as soon as, as ever, once
terwijl;while, during
indien;if
mits;provided that, as long as
tenzij;unless
voordat;before, prior to
vanavond;this evening
de tijd;time
de dag;day
de ochtend;morning
de avond;evening
de nacht;night
de morgen;"morning; tomorrow"
de middag;afternoon
vandaag;today
morgenavond;tomorrow evening
dinsdag;Tuesday
woensdag;Wednesday
donderdag;Thursday
vrijdag;Friday
zaterdag;Saturday
zondag;Sunday
maandag;Monday
het jaar;year
de week;week
duren;to last (duration)
hoelang;how long
het moment;moment
de leeftijd;age
's;in the, on (in reference to time)
het uur;hour, o'clock
de maand;month
januari;January
februari;February
maart;March
april;April
mei;May
juni;June
juli;July
augustus;August
september;September
oktober;October
november;November
december;December
de kalender;calendar
de datum;date (day of a year)
de verjaardag;birthday
de periode;period
de eeuw;century
de lente;spring (season)
de zomer;summer
de herfst;autumn
de winter;winter
het seizoen;season
om;at, around
laat;late
half;half
het kwart;quarter
de minuut;minute
de seconde;second (of time)
de keer;"occasion, time (as in ""How many times"")"
per;per, a
het beetje;bit, little bit
het decennium;the decade
tot;till, until, to
het hotel;hotel
het restaurant;restaurant
de badkamer;bathroom
de keuken;kitchen
het huis;house
de tuin;garden, yard
het strand;beach
het park;park
de stad;city, town
de kerk;church
de plek;place, location, spot
de straat;street
leiden;to lead
het vliegveld;airport
het land;land, country
het gebied;area, region
het kantoor;office
langs;along
de locatie;location, site
thuis;at home
het centrum;centre
binnen;inside
de kamer;room
de markt;market
het gebouw;building
het adres;address
de afdeling;department, section
het landgoed;estate, property
het kasteel;castle
het district;district
de bank;bank
de regio;region
de windmolen;windmill
de voorkant;front
het eiland;island
de bar;bar
de vallei;valley
de binnenkant;inside
het kanaal;channel, canal
de kust;coast
de zone;zone
het museum;museum
de grond;ground, floor, soil
de buurt;neighborhood
de route;route
de bioscoop;cinema
de hoek;corner, angle, hook
de toren;tower
de grens;border, frontier
de laan;avenue
de haven;port
de plaats;place, town
de gemeenschap;community
de rechterkant;right side, right
de hoofdstad;capital, capital city
het paleis;palace
de boerderij;farm
bovenaan;on top
het plein;(town) square
de gevangenis;prison
de dierentuin;zoo
de brug;bridge
boven;above
hier;here
daar;(over) there
er;there
eruit;out (of there)
erop;on it
erin;in it, in there
eronder;underneath it
ernaartoe;to it, towards it, there
ertussen;in between, between it, among it
ernaast;next to it, beside it
ermee;with it
naartoe;to, towards
hierna;after this
hiertussen;in here, between these
hierdoor;because of this
hieronder;underneath this
hiermee;with this
daarop;to that, on that, after that
daarnaast;besides, furthermore, next to that
daarin;in there, therein
daarmee;thus, with that
de student;student (male)
de studente;student (female)
de baan;job
de schrijver;author, writer (male)
de schrijfster;author, writer (female)
de dokter;doctor
de werkgever;employer
de werknemer;employee
de kunstenares;artist (female)
de werkster;maid, (female) worker
het model;model
de carrière;career
de kunstenaar;artist  (male)
de directeur;director, manager
de advocaat;lawyer
de rechter;judge
het personeel;staff
de secretaresse;secretary (female)
de burgemeester;mayor
de secretaris;secretary (male)
de politie;the police
de serveerster;waitress
de ober;waiter
de architect;architect
de soldaat;soldier
de boer;farmer
de baas;boss
het beroep;profession
de koning;king
de kok;cook
de acteur;actor
de bewaker;guard
de kapitein;captain
de actrice;actress
de ingenieur;engineer
de zus;sister
de broer;brother
de zoon;son
de vader;father
de dochter;daughter
de ouder;parent
de moeder;mother
de familie;family (kin)
de echtgenoot;husband
de tante;aunt
de oom;uncle
de echtgenote;wife
het huwelijk;marriage
de opa;grandpa
de oma;grandma
de ma;mom
de pa;dad
de grootvader;grandfather
de grootmoeder;grandmother
grootouders;grandparents
openen;to open
denken;to think
denken aan;to think of
veranderen;to change, to alter
terugkeren;to return
bellen;to call (by phone), to ring
redden;to save, to rescue
signeren;to sign
leven;to live (to be alive)
studeren;to study
aanbieden;to offer
geven;to give
weten;to know
gebeuren;to happen, to occur
proberen;to try, to attempt
vragen;to ask
presenteren;to present, to introduce
praten;to talk, to chat
tellen;to count
zoeken;to seek, to search for
verzamelen;to collect, to gather
markeren;to mark (with a highlighter)
maken;to make
stoppen;to stop
wensen;to wish
stellen;to set, to place, to pose (a question)
wachten;to wait
hopen;to hope
geloven;to believe
vinden;to find
leuk;cool, funny, nice
leuk vinden;to like
herkennen;to recognize, to identify
leren;to learn
volgen;to follow
brengen;to bring
lijken;to seem, to appear
blijven;to stay, to remain, to keep
verkopen;to sell
bedanken;to thank
rusten;to rest
eindigen;to end
antwoorden;to answer
beginnen;to start, to begin
kosten;to cost
kijken (naar);to look at, to watch
zingen;to sing
vertrouwen;to trust
kopen;to buy
bestellen;to order (food, e.g.)
ontmoeten;to meet (up)
worden;to become
de hand;hand
het oog;eye
de gezondheid;health
zorgen voor;to take care of
het lichaam;body
het hoofd;head
gezond;healthy
ziek;sick, ill
de zorg;care, healthcare
de hulp;help
het gezicht;face
het noodgeval;emergency
de behandeling;treatment, handling
het hart;heart
het medicijn;medicine
het bloed;blood
de koorts;fever
de griep;flu
het ziekenhuis;hospital
de ambulance;ambulance
de ziekte;illness, sickness, disease
de patiënt;patient
de patiënte;patient (female)
de operatie;operation, surgery
het haar;hair
de huid;skin
de voet;foot
de pijn;pain
pijn doen;to hurt, to ache
de arts;physician, doctor, therapist
het virus;virus
het dieet;diet
het geneesmiddel;medication, remedy, drug
het zicht;sight, vision, view
de arm;arm
de mond;mouth
het been;leg
de nek;neck
het ongeluk;accident
de hersenen;brain
de vinger;finger
het oor;ear
de tand;tooth
de tong;tongue
de borst;chest, breast
de neus;nose
de lip;lip
de rug;back (body part)
de toestand;state, condition
de afspraak;appointment
de verpleegkundige;nurse
nu;now
meer;more
al;already
straks;soon, shortly
dan;then
nog steeds;still, as yet
eens;once
wel eens;ever
momenteel;currently, at the moment
binnenkort;soon, before long
onmiddellijk;immediately
altijd;always
nooit;never
soms;sometimes
meestal;mostly, most of the time
doorgaans;usually, generally
vaak;frequently, often
normaal gesproken;usually, normally (generally speaking)
ver;far
de weg;road, way, path
ver weg;far away
ergens;somewhere
overal;everywhere, anywhere
nergens;nowhere
perfect;perfect
volmaakt;perfectly
bijna;almost
heel;whole, wholly, very, quite
echter;however
nogal;rather, quite, pretty
zeer;very
eindelijk;finally
helemaal;totally, altogether
zelfs;even
behoorlijk;properly, reasonably, fairly
opnieuw;anew, again
toch;right?, yet, still, however
gemakkelijk;easily
ongeveer;approximately, about
mogelijk;possibly
precies;precisely
duidelijk;clearly, obviously
echt;really, genuinely
weer;again
zo;so
noodzakelijk;necessarily
zeker;certainly, definitely
volstrekt;absolutely
voldoende;sufficiently
tenminste;at least
samen;together
eigenlijk;actually
het tijdschrift;magazine, journal
de fles;bottle
de tafel;table
de lepel;spoon
de kom;bowl
de stoel;chair
het bed;bed
het raam;window
de televisie;television
de computer;computer
de radio;radio
uit;off
de spiegel;mirror
de klok;clock
mobiel;mobile
de mobiele telefoon;cellphone, mobile phone
de bank;couch, bench
de lamp;lamp
het horloge;wrist watch
het bureau;desk
de mand;basket
de zeep;soap
de doos;box, case
de deur;door
het beeldscherm;screen
de portemonnee;purse, wallet
het laken;bedsheet
de batterij;battery
het scheermes;razor
de tandpasta;toothpaste
de telefoon;telephone
de muur;wall
de vloer;floor
de paraplu;umbrella
het wiel;wheel
het dak;roof
de tas;bag, pouch
de sleutel;key
het zwembad;swimming pool
het ding;thing, matter
de kast;cupboard, closet, cabinet
de brief;letter, note
brieven;letters, notes
de bel;bell, bubble
de schaar;scissors (singular)
het glas;glass
de pan;pan (saucepan, frying pan)
het papier;paper
de beker;cup, mug
de motor;engine, motorcycle
het voorwerp;thing, object
de machine;machine
het stuk;piece
het blad;sheet, leaf, magazine
bladeren;leaves, sheets, magazines
het potlood;pencil
de wortel;root, carrot
de ketting;chain, necklace
de spons;sponge
sponzen;sponges
de roman;novel
de poedersuiker;powdered sugar
het poeder, de poeder;powder
de kam;comb
het mes;knife
de vork;fork
de tandenborstel;toothbrush
beloven;to promise
aanmoedigen;to encourage
bevelen;to order, to command
verlangen ernaar;to yearn for, to long for
verzoeken;to request, to ask
streven ernaar;to aim, to strive after
dwingen;to force, to coerce
weggaan;to go away, to take off
durven;to dare
beweren;to claim, to assert
blijken;to turn out to be, to appear
inzien;to look through, to glance over, to comprehend
vallen;to fall
deze;"this (de-nouns); these"
die;"that (de-nouns); those"
dit;this (het-nouns)
dat;that (het-nouns)
zulk;such (uncountable het-nouns)
zulke;"such (uncountable de-nouns; plural)"
zo'n;such a
zoiets;something like that, such a thing
dezelfde;"the same (de-nouns; plural)"
hetzelfde;the same (het-nouns)
andere;other, another, different
anderen;others
beide;both
beiden;both (of them)
niks;"nothing (not ""niets"")"
geen enkel;not a single, not any
degene die, diegene die;the one who
lees;read! (imperative)
wees;be! (imperative)
de wees;orphan
kom;come! (imperative)
opruimen;to tidy up, to clean up
ruim ... op;tidy up! clean up! (imperative)
ruim;spacious, capacious, roomy
blijf;stay! (imperative)
laten;to let, to leave
laten we;let's (+infinitive)
dansen;to dance
meezingen;to sing along
ga;go! (imperative)
zing;sing! (imperative)
dans;dance! (imperative)
roken;to smoke
niet roken;don't smoke, no smoking
ren;run! (imperative)
niet doen!;don't! don't do it! (imperative)
wegrennen;to run away
niet rennen;don't run, no running
kunnen;can, to be able to
hoeven;to be in need of, to need to (negative sentences)
moeten;must, to have to (affirmative sentences)
meegaan;to go along, to go with, to accompany
zullen;shall, will (infinitive)
mogen;may, to be allowed
een keer;once, one time
blijven;to stay, to remain, to keep
het kopje;"cup (such as coffee cup, not ""beker"")"
het telefoontje;telephone call
erover;about it
het vraagje;"quick question (diminutive of ""question"")"
indoen;to put in
het briefje;note, banknote, memo
het doosje;box, case (diminutive)
het citroentje;lemon (diminutive)
het katje;kitten, kitty
het belletje;small bell, phone call
het raampje;window (diminutive)
opendoen;to open
het gezin;family (household)
het museumpje;museum (diminutive)
het mandje;basket (diminutive)
het dingetje;thing, thingy
het mannetje;male animal, small man
het kettinkje;chainlet, (thin) necklace
het koninkje;king (diminutive)
het biertje;beer (countable)
het glaasje;glass (diminutive)
het huisje;cottage
het omaatje;granny, little grandma
het blaadje;leaf (diminutive), small sheet of paper
het jongetje;"little boy (diminutive of ""boy"")"
het eitje;egg (diminutive)
